t=,1659559, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.023, mSel=,+0.000, b=,0.352, m=,0.038, ca=,0.0003, cr=,0.0671,  actvprof=,1.754801, best_B_id=,B04, best_B_prof=,1.754801, best_B_strat=, mBuy=,-0.023, mSel=,+0.000, b=,0.352, m=,0.038, ca=,0.0003, cr=,0.0671, 
t=,1690871, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673,  actvprof=,1.738897, best_B_id=,B04, best_B_prof=,1.738897, best_B_strat=, mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673, 
t=,1722183, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673,  actvprof=,1.791295, best_B_id=,B04, best_B_prof=,1.791295, best_B_strat=, mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673, 
t=,1753496, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673,  actvprof=,1.757431, best_B_id=,B04, best_B_prof=,1.757431, best_B_strat=, mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673, 
t=,1784808, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673,  actvprof=,1.748989, best_B_id=,B04, best_B_prof=,1.748989, best_B_strat=, mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673, 
t=,1816120, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673,  actvprof=,1.763271, best_B_id=,B04, best_B_prof=,1.763271, best_B_strat=, mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673, 
t=,1847432, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673,  actvprof=,1.723272, best_B_id=,B04, best_B_prof=,1.723272, best_B_strat=, mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673, 
t=,1878745, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673,  actvprof=,1.721829, best_B_id=,B04, best_B_prof=,1.721829, best_B_strat=, mBuy=,-0.039, mSel=,+0.012, b=,0.356, m=,0.044, ca=,0.0004, cr=,0.0673, 
t=,1910057, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.008, b=,0.375, m=,0.014, ca=,0.0000, cr=,0.0692,  actvprof=,1.811150, best_B_id=,B04, best_B_prof=,1.811150, best_B_strat=, mBuy=,-0.022, mSel=,+0.008, b=,0.375, m=,0.014, ca=,0.0000, cr=,0.0692, 
t=,1941370, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.023, mSel=,+0.042, b=,0.407, m=,0.000, ca=,0.0045, cr=,0.0667,  actvprof=,1.849967, best_B_id=,B04, best_B_prof=,1.849967, best_B_strat=, mBuy=,-0.023, mSel=,+0.042, b=,0.407, m=,0.000, ca=,0.0045, cr=,0.0667, 
t=,1972682, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.021, mSel=,+0.070, b=,0.391, m=,0.019, ca=,0.0072, cr=,0.0708,  actvprof=,1.848707, best_B_id=,B04, best_B_prof=,1.848707, best_B_strat=, mBuy=,-0.021, mSel=,+0.070, b=,0.391, m=,0.019, ca=,0.0072, cr=,0.0708, 
t=,2003995, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.028, mSel=,+0.078, b=,0.369, m=,0.000, ca=,0.0094, cr=,0.0702,  actvprof=,1.829876, best_B_id=,B04, best_B_prof=,1.829876, best_B_strat=, mBuy=,-0.028, mSel=,+0.078, b=,0.369, m=,0.000, ca=,0.0094, cr=,0.0702, 
t=,2035307, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.027, mSel=,+0.024, b=,0.406, m=,0.010, ca=,0.0045, cr=,0.0655,  actvprof=,1.881274, best_B_id=,B04, best_B_prof=,1.881274, best_B_strat=, mBuy=,-0.027, mSel=,+0.024, b=,0.406, m=,0.010, ca=,0.0045, cr=,0.0655, 
t=,2066620, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.059, mSel=,+0.004, b=,0.396, m=,0.000, ca=,0.0056, cr=,0.0566,  actvprof=,1.828416, best_B_id=,B04, best_B_prof=,1.828416, best_B_strat=, mBuy=,-0.059, mSel=,+0.004, b=,0.396, m=,0.000, ca=,0.0056, cr=,0.0566, 
t=,2097932, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.045, mSel=,+0.000, b=,0.382, m=,0.004, ca=,0.0069, cr=,0.0535,  actvprof=,1.804990, best_B_id=,B04, best_B_prof=,1.804990, best_B_strat=, mBuy=,-0.045, mSel=,+0.000, b=,0.382, m=,0.004, ca=,0.0069, cr=,0.0535, 
t=,2129244, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.031, mSel=,+0.001, b=,0.363, m=,0.006, ca=,0.0089, cr=,0.0554,  actvprof=,1.739647, best_B_id=,B04, best_B_prof=,1.739647, best_B_strat=, mBuy=,-0.031, mSel=,+0.001, b=,0.363, m=,0.006, ca=,0.0089, cr=,0.0554, 
t=,2160557, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.015, mSel=,+0.000, b=,0.340, m=,0.042, ca=,0.0121, cr=,0.0551,  actvprof=,1.787495, best_B_id=,B04, best_B_prof=,1.787495, best_B_strat=, mBuy=,-0.015, mSel=,+0.000, b=,0.340, m=,0.042, ca=,0.0121, cr=,0.0551, 
t=,2191870, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.015, mSel=,+0.000, b=,0.340, m=,0.042, ca=,0.0121, cr=,0.0551,  actvprof=,1.751767, best_B_id=,B04, best_B_prof=,1.751767, best_B_strat=, mBuy=,-0.015, mSel=,+0.000, b=,0.340, m=,0.042, ca=,0.0121, cr=,0.0551, 
t=,2223182, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.015, mSel=,+0.000, b=,0.340, m=,0.042, ca=,0.0121, cr=,0.0551,  actvprof=,1.734758, best_B_id=,B04, best_B_prof=,1.734758, best_B_strat=, mBuy=,-0.015, mSel=,+0.000, b=,0.340, m=,0.042, ca=,0.0121, cr=,0.0551, 
